#
# SED templates.  MS (main sequence star forming at z=0.5) and starburst are from '
# Magdis et al. 2012. The 70% AGN tempate is from Ciesla 2015
#
#  Wave (um)   Flux_MS (mJy)  Flux_Burst (mJy)   Flux AGN (mJy)
      51.5200       76.660056       446.83291       61.864578
      52.0000       78.441854       453.10796       61.827722
      52.4800       80.269414       459.75703       61.791208
      52.9700       82.166185       466.40612       61.754308
      53.4600       84.108702       472.68870       61.710244
      53.9500       86.062938       479.34520       61.614144
      54.4500       88.074654       485.62777       61.481437
      54.9500       90.086379       491.91036       61.350215
      55.4600       92.143852       498.55937       61.218017
      55.9800       94.270529       504.84945       61.098496
      56.4900       96.454679       511.13203       61.012177
      57.0200       98.638832       517.41459       60.930180
      57.5400       100.88047       523.33816       60.850625
      58.0800       103.12209       529.62076       60.768838
      58.6100       105.40949       535.52934       60.679843
      59.1600       107.76606       541.81194       60.581563
      59.7000       110.12264       547.72049       60.485956
      60.2600       112.52499       553.25514       60.387830
      60.8100       114.93905       559.16377       60.292136
      61.3800       117.39886       564.69093       60.183694
      61.9400       119.87041       570.22560       60.077875
      62.5200       122.38769       575.75273       59.969407
      63.1000       124.90499       580.90595       59.862465
      63.6800       127.42230       586.05920       59.763290
      64.2700       129.99704       591.21988       59.673018
      64.8600       132.57181       595.99905       59.583653
      65.4600       135.20406       600.77834       59.493803
      66.0700       137.82458       605.55755       59.405629
      66.6800       140.45681       609.96277       59.328102
      67.3000       143.07734       614.36064       59.254527
      67.9200       145.75533       618.39949       59.181778
      68.5500       148.37585       622.43079       59.108623
      69.1800       151.05383       626.45461       59.034233
      69.8200       153.66263       630.10450       58.956345
      70.4700       156.34061       633.75437       58.877786
      71.1200       159.00689       637.03031       58.800010
      71.7800       161.67315       640.31364       58.721799
      72.4400       164.33941       643.22311       58.653917
      73.1100       167.00568       646.12501       58.589295
      73.7900       169.60271       648.66049       58.524343
      74.4700       172.26899       651.19594       58.460080
      75.1600       174.86604       653.34996       58.397991
      75.8600       177.40562       655.51150       58.335706
      76.5600       179.99094       657.29153       58.274003
      77.2700       182.47304       658.71264       58.212068
      77.9800       185.00089       660.12618       58.150856
      78.7000       187.47125       661.53973       58.089338
      79.4300       189.94163       662.57935       58.027572
      80.1700       192.34280       663.25260       57.965643
      80.9100       194.69820       663.92563       57.904376
      81.6600       197.04187       664.22472       57.842886
      82.4100       199.32810       664.52396       57.781994
      83.1800       201.60257       664.45669       57.575892
      83.9500       203.88879       664.38937       57.330960
      84.7200       206.04830       664.32205       57.089162
      85.5100       208.21956       663.52176       56.844290
      86.3000       210.32160       663.08049       56.622460
      87.1000       212.35443       661.90624       56.468666
      87.9000       214.39900       660.73193       56.317343
      88.7200       216.37434       659.55774       56.164061
      89.5400       218.24649       658.02462       56.018566
      90.3600       220.10690       656.48378       55.932136
      91.2000       221.90981       654.94302       55.889602
